ward_id,representative_area,basis,analytical_status,note
1,Gotri,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
2,Sayajigunj,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
3,Fatehgunj,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
4,Karelibaug,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
5,Alkapuri,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
6,Akota,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
7,Atladara,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
8,Manjalpur,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
9,Tarsali,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
10,Makarpura,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
11,Waghodia Road,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
12,Harni,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
13,Sama,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
14,Chhani,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
15,Nizampura,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
16,Ajwa Road,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
17,Dabhoi Road,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
18,Vasna,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
19,Central Vadodara,Dominant locality overlap (manual interpretation),Reference only (not used in computation),Ward boundaries are synthetic analytical units generated via spatial clustering. Names are indicative and used solely for interpretation and reporting.
